2026-03-09T12:34:24Z | INFO     |        __main__ | === Integrated Gradients — Rubsheet 3-to-1 ===
2026-03-09T12:34:24Z | INFO     |        __main__ | IG params: n_steps=20
2026-03-09T12:34:24Z | INFO     |        __main__ | Loading test data …
2026-03-09T12:34:24Z | INFO     |        __main__ | Loading model from /home/xtsimbota_135764/masters/models/rubsheet_3to1_model_2026-03-05_01-36.pth
2026-03-09T12:35:19Z | INFO     | utils.attribution_map | Collected 4622 test samples.
2026-03-09T12:35:19Z | INFO     | utils.attribution_map | Summary CSV saved → /home/xtsimbota_135764/masters/analysis/rubsheet_3to1/ig/summary.csv (4622 rows)
2026-03-09T12:35:19Z | INFO     | utils.attribution_map | Group 'low': label [0–0] W/m², error [0.5–1.0]
2026-03-09T12:35:19Z | INFO     | utils.attribution_map | Group 'medium': label [157–157] W/m², error [0.4–9.0]
2026-03-09T12:35:19Z | INFO     | utils.attribution_map | Group 'high': label [1083–1211] W/m², error [2.3–57.1]
2026-03-09T12:35:19Z | INFO     | utils.attribution_map | Group 'best': label [9–965] W/m², error [0.0–0.0]
2026-03-09T12:35:19Z | INFO     | utils.attribution_map | Group 'worst': label [214–975] W/m², error [84.8–155.2]
2026-03-09T12:35:19Z | INFO     | utils.attribution_map | Group 'random': label [73–591] W/m², error [0.8–23.9]
2026-03-09T12:35:20Z | INFO     | utils.attribution_map | Generating Integrated Gradients grid: Low Irradiance (7 images) …
2026-03-09T12:35:24Z | INFO     | utils.attribution_map | Saved → /home/xtsimbota_135764/masters/analysis/rubsheet_3to1/ig/low_ig.png
2026-03-09T12:35:24Z | INFO     | utils.attribution_map | Generating Integrated Gradients grid: Medium Irradiance (7 images) …
2026-03-09T12:35:29Z | INFO     | utils.attribution_map | Saved → /home/xtsimbota_135764/masters/analysis/rubsheet_3to1/ig/medium_ig.png
2026-03-09T12:35:29Z | INFO     | utils.attribution_map | Generating Integrated Gradients grid: High Irradiance (7 images) …
2026-03-09T12:35:33Z | INFO     | utils.attribution_map | Saved → /home/xtsimbota_135764/masters/analysis/rubsheet_3to1/ig/high_ig.png
2026-03-09T12:35:33Z | INFO     | utils.attribution_map | Generating Integrated Gradients grid: Best Predictions (lowest error) (7 images) …
2026-03-09T12:35:37Z | INFO     | utils.attribution_map | Saved → /home/xtsimbota_135764/masters/analysis/rubsheet_3to1/ig/best_ig.png
2026-03-09T12:35:37Z | INFO     | utils.attribution_map | Generating Integrated Gradients grid: Worst Predictions (highest error) (7 images) …
2026-03-09T12:35:42Z | INFO     | utils.attribution_map | Saved → /home/xtsimbota_135764/masters/analysis/rubsheet_3to1/ig/worst_ig.png
2026-03-09T12:35:42Z | INFO     | utils.attribution_map | Generating Integrated Gradients grid: Random Sample (7 images) …
2026-03-09T12:35:46Z | INFO     | utils.attribution_map | Saved → /home/xtsimbota_135764/masters/analysis/rubsheet_3to1/ig/random_ig.png
2026-03-09T12:35:46Z | INFO     |        __main__ | Integrated Gradients analysis complete.
2026-03-09T12:36:17Z | INFO     |        __main__ | === Integrated Gradients — Rubsheet 3-to-1 ===
2026-03-09T12:36:17Z | INFO     |        __main__ | IG params: n_steps=50
2026-03-09T12:36:17Z | INFO     |        __main__ | Loading test data …
2026-03-09T12:36:17Z | INFO     |        __main__ | Loading model from /home/xtsimbota_135764/masters/models/rubsheet_3to1_model_2026-03-05_01-36.pth
2026-03-09T12:37:12Z | INFO     | utils.attribution_map | Collected 4622 test samples.
2026-03-09T12:37:12Z | INFO     | utils.attribution_map | Summary CSV saved → /home/xtsimbota_135764/masters/analysis/rubsheet_3to1/ig/summary.csv (4622 rows)
2026-03-09T12:37:12Z | INFO     | utils.attribution_map | Group 'low': label [0–0] W/m², error [0.5–1.0]
2026-03-09T12:37:12Z | INFO     | utils.attribution_map | Group 'medium': label [157–157] W/m², error [0.4–9.0]
